Start time: 1725127078
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-192 queue1-dy-hpc6a48xlarge-114
# OSU MPI Latency Test v5.8
# Size          Latency (us)
131072               9938.51
262144              10962.74
524288              11302.71
1048576             11704.37
2097152             11945.01
4194304             11998.55
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-29 queue1-dy-hpc6a48xlarge-92
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.73
1                      15.74
2                      15.93
4                      15.71
8                      16.17
16                     16.16
32                     16.18
64                     16.29
128                    16.35
256                    16.35
512                    16.45
1024                   16.63
2048                   16.92
4096                   17.91
8192                   20.11
16384                  21.16
32768                  22.71
65536                  26.06
131072                 68.88
262144                 81.94
524288                149.88
1048576               264.47
2097152               505.92
4194304               958.12
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.87
2                       1.76
4                       3.53
8                       7.06
16                     13.94
32                     27.69
64                     56.18
128                   112.55
256                   224.34
512                   447.40
1024                  882.13
2048                 1729.76
4096                 3233.29
8192                 5805.84
16384                7727.49
32768                9618.26
65536               10857.05
131072              10231.53
262144              10537.43
524288              11431.63
1048576             11808.62
2097152             12033.84
4194304             12033.50
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-29 queue1-dy-hpc6a48xlarge-110
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.23
1                      15.22
2                      15.32
4                      15.22
8                      15.66
16                     15.67
32                     15.67
64                     15.74
128                    15.82
256                    15.83
512                    15.95
1024                   16.07
2048                   16.31
4096                   17.25
8192                   19.32
16384                  20.19
32768                  21.92
65536                  25.16
131072                 67.04
262144                 79.20
524288                139.48
1048576               257.87
2097152               497.62
4194304               939.41
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.88
2                       1.75
4                       3.46
8                       7.10
16                     14.12
32                     28.39
64                     56.90
128                   113.36
256                   226.82
512                   444.12
1024                  889.29
2048                 1746.11
4096                 3328.23
8192                 5859.18
16384                7744.70
32768                9199.99
65536               10874.87
131072              10381.92
262144              10586.48
524288              11172.85
1048576             11712.07
2097152             11984.15
4194304             12011.69
Point-to-point pairwise experiments for nodes queue1-dy-hpc6a48xlarge-92 queue1-dy-hpc6a48xlarge-110
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      15.56
1                      15.56
2                      15.74
4                      15.53
8                      16.01
16                     16.01
32                     16.01
64                     16.10
128                    16.15
256                    16.15
512                    16.26
1024                   16.45
2048                   16.77
4096                   17.74
8192                   19.90
16384                  20.82
32768                  22.37
65536                  25.74
131072                 67.62
262144                 81.42
524288                141.10
1048576               261.16
2097152               501.81
4194304               949.90
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.87
2                       1.75
4                       3.57
8                       7.10
16                     14.28
32                     27.88
64                     56.09
128                   113.24
256                   225.44
512                   446.10
1024                  884.52
2048                 1751.22
4096                 3324.78
8192                 5741.93
16384                7724.06
32768                9680.24
65536               10716.54
131072              10362.62
262144              10639.84
524288              11374.56
1048576             11796.83
2097152             11953.97
4194304             11982.83
Allreduce iteration 0

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     606.27
8                     660.53
16                    425.62
32                    434.28
64                    466.59
128                   403.76
256                   579.09
512                   475.24
1024                  516.40
2048                  732.96
4096                  787.12
8192                 1162.07
16384                1931.93
32768              393397.58
65536                2022.33
131072               2000.95
262144               2846.66
524288               4639.40
1048576              8086.84
End time: 1725127979
