,uri,full_uri,layer_size,digest,media_type,schema_version
54,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,1374295401,sha256:ec6d5f6c9ed94d2ee2eeaf048d90242af638325f57696909f1737b3158d838cf,application/vnd.docker.image.rootfs.diff.tar.gzip,2
55,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,64047,sha256:47b8539d532f561cac6d7fb8ee2f46c902b66e4a60b103d19701829742a0d11e,application/vnd.docker.image.rootfs.diff.tar.gzip,2
56,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,1684,sha256:fd9cc1ad8dee47ca559003714d462f4eb79cb6315a2708927c240b84d022b55f,application/vnd.docker.image.rootfs.diff.tar.gzip,2
57,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,1523,sha256:83525caeeb359731f869f1ee87a32acdfdd5efb8af4cab06d8f4fdcf1f317daa,application/vnd.docker.image.rootfs.diff.tar.gzip,2
58,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,2646171659,sha256:8e79813a7b9d5784bb880ca2909887465549de5183411b24f6de72fab0802bcd,application/vnd.docker.image.rootfs.diff.tar.gzip,2
59,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,88858,sha256:312a542960e3345001fc709156a5139ff8a1d8cc21a51a50f83e87ec2982f579,application/vnd.docker.image.rootfs.diff.tar.gzip,2
60,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,670177340,sha256:ae033ce9621d2cceaef2769ead17429ae8b29f098fb0350bdd4e0f55a36996db,application/vnd.docker.image.rootfs.diff.tar.gzip,2
61,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,106852577,sha256:d5fd67c34b4257e6b74966a3e7657b6148f03a7391d5c6310ec925a9d6da3ecd,application/vnd.docker.image.rootfs.diff.tar.gzip,2
62,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,112507393,sha256:a186ee0a3d142af4fcddd54e82075e75fa7e5b0b1c9483c160eba48060283cbb,application/vnd.docker.image.rootfs.diff.tar.gzip,2
63,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,48562796,sha256:b41eaa2e4041b9906059a46152097e0fa627a9f2764ab4e6264197159805b485,application/vnd.docker.image.rootfs.diff.tar.gzip,2
64,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,28822624,sha256:3527520d776d23f87192ba775d08316d37c4daff09ca5a88edd308f7248474be,application/vnd.docker.image.rootfs.diff.tar.gzip,2
65,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,18121809,sha256:501d4b9040ef72a03efd0bc1e5480b5bdc237f9bc1b8de522d9850814d80e288,application/vnd.docker.image.rootfs.diff.tar.gzip,2
66,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,865750,sha256:8e9459e8afdf3d8ffac0a4dbf003f28dd1f817c94edb62a116ec063b1a6d65fd,application/vnd.docker.image.rootfs.diff.tar.gzip,2
67,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,602703,sha256:2397d694adbdfc8b136951a6c455186425bf1ed522ecb7b4ca21a2c2dd6ba77b,application/vnd.docker.image.rootfs.diff.tar.gzip,2
68,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,113,sha256:c65d032c7d06da1ec26cf6344aa3475b8f42d459124ebb0da1bcf04a69b311ed,application/vnd.docker.image.rootfs.diff.tar.gzip,2
69,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,1922635,sha256:769ede38dee80a95fe405eb6ebdd58a97f386bc47308c7762099f06b8a705b39,application/vnd.docker.image.rootfs.diff.tar.gzip,2
70,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,32,sha256:4f4fb700ef54461cfa02571ae0db9a0dc1e0cdb5577484a6d75e68dc38e8acc1,application/vnd.docker.image.rootfs.diff.tar.gzip,2
71,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,339022,sha256:696663e3d7936b59b8589e4e0c454d0f29bad7da9f73b5671c33ca5519cf6dcd,application/vnd.docker.image.rootfs.diff.tar.gzip,2
72,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,1281,sha256:0f1f82f7615412c0ce1f32d19d2f6aa1772bf0d560744c882509155d67097b94,application/vnd.docker.image.rootfs.diff.tar.gzip,2
73,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,98898951,sha256:8766603f8c80ad7954e70b2017c8b8b865016f90d850b8cd84e226228e183c0f,application/vnd.docker.image.rootfs.diff.tar.gzip,2
74,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,36911405,sha256:91e0951c9aad4bcb88f066910dae7260bf557061b21546d887ca0b59c3b75030,application/vnd.docker.image.rootfs.diff.tar.gzip,2
75,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,22362740,sha256:d37ec51c9393abfebf8f1df3030c34dda6c88a02bb91ff6d7f3c863253ee824c,application/vnd.docker.image.rootfs.diff.tar.gzip,2
76,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,92648811,sha256:d7bb8b31ddcc125ef7ee5ae84af826f2716868ddb92da30a431f82132464c0e9,application/vnd.docker.image.rootfs.diff.tar.gzip,2
77,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,119073108,sha256:81b25b5770de1c6e430d970cd588e6e0fa61d7d57614ad6d6b28b50d92e72391,application/vnd.docker.image.rootfs.diff.tar.gzip,2
78,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,11246308,sha256:6941900855030bfa2289f66c8be688eaeef7ec90ee758febcd3ad6575de0a4cc,application/vnd.docker.image.rootfs.diff.tar.gzip,2
79,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,8472576,sha256:32a3e5e04ab15b0c222842f8f7ee2cfad967c96bf68e102acc31a47b15832123,application/vnd.docker.image.rootfs.diff.tar.gzip,2
80,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,78285531,sha256:abcc2cf301e0409dd546b7229044b0ac4f57e38d8a78b915b7d91d0f96eca47f,application/vnd.docker.image.rootfs.diff.tar.gzip,2
81,ghcr.io/converged-computing/metric-minife,ghcr.io/converged-computing/metric-minife:libfabric,32,sha256:4f4fb700ef54461cfa02571ae0db9a0dc1e0cdb5577484a6d75e68dc38e8acc1,application/vnd.docker.image.rootfs.diff.tar.gzip,2
