,experiment,cost,size
627,azure/aks/gpu,2.461181698762046,8
629,azure/aks/gpu,1.4763844279978011,8
75,google/gke/gpu,2.7858238355848526,16
77,google/gke/gpu,4.644592622884115,16
79,google/gke/gpu,3.077301742214627,16
81,google/gke/gpu,3.0450860415988497,16
83,google/gke/gpu,4.550120208740234,16
85,google/gke/gpu,4.485179115464952,16
87,google/gke/gpu,3.11680088297526,16
89,google/gke/gpu,4.592235212537977,16
91,google/gke/gpu,4.6252919260660805,16
93,google/gke/gpu,3.2152899654812277,16
179,google/compute-engine/gpu,4.861308278740776,16
181,google/compute-engine/gpu,3.261248761664496,16
183,google/compute-engine/gpu,3.240829940456814,16
185,google/compute-engine/gpu,4.782480249362521,16
187,google/compute-engine/gpu,4.7831705651177305,16
189,google/compute-engine/gpu,3.255971192762587,16
191,google/compute-engine/gpu,4.793540673149956,16
193,google/compute-engine/gpu,3.217947067260742,16
195,google/compute-engine/gpu,4.848446692233615,16
197,google/compute-engine/gpu,3.287497097439236,16
281,on-premises/lassen/gpu,,16
283,on-premises/lassen/gpu,,16
285,on-premises/lassen/gpu,,16
287,on-premises/lassen/gpu,,16
289,on-premises/lassen/gpu,,16
349,aws/eks/gpu,4.956217938137055,16
351,aws/eks/gpu,3.1647999670770433,16
353,aws/eks/gpu,3.2549969457520374,16
355,aws/eks/gpu,3.174445355828603,16
357,aws/eks/gpu,3.175944685798221,16
359,aws/eks/gpu,4.932981924968295,16
361,aws/eks/gpu,4.88077609647115,16
363,aws/eks/gpu,4.889460649564532,16
365,aws/eks/gpu,4.869192339187197,16
367,aws/eks/gpu,3.1726544611824883,16
523,azure/cyclecloud/gpu,2.9373333333333336,16
525,azure/cyclecloud/gpu,1.664488888888889,16
527,azure/cyclecloud/gpu,2.9373333333333336,16
529,azure/cyclecloud/gpu,1.664488888888889,16
531,azure/cyclecloud/gpu,2.9373333333333336,16
533,azure/cyclecloud/gpu,1.7624000000000002,16
535,azure/cyclecloud/gpu,2.9373333333333336,16
537,azure/cyclecloud/gpu,1.7624000000000002,16
539,azure/cyclecloud/gpu,2.741511111111111,16
