Start time: 1725076794
Point-to-point pairwise experiments for nodes cluster-256-hpc-126 cluster-256-hpc-8
# OSU MPI Latency Test v5.8
# Size          Latency (us)
2048                    2.75
4096                    3.45
8192                    3.98
16384                   5.26
32768                   6.86
65536                   8.89
131072                 13.71
262144                 17.12
524288                 27.76
1048576                49.28
2097152                92.74
4194304               176.74
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.00
2                       7.88
4                      16.33
8                      32.56
16                     65.30
32                    129.61
64                    248.08
128                   492.64
256                   952.05
512                  1790.72
1024                 3420.50
2048                 6096.48
4096                 9029.43
8192                13596.96
16384               19059.66
32768               21436.16
65536               23368.60
131072              24017.88
262144              24356.66
524288              24528.39
1048576             24611.87
2097152             24653.37
4194304             24672.45
Point-to-point pairwise experiments for nodes cluster-256-hpc-10 cluster-256-hpc-36
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.58
1                       1.57
2                       1.57
4                       1.58
8                       1.58
16                      1.58
32                      1.75
64                      1.77
128                     1.82
256                     2.34
512                     2.45
1024                    2.65
2048                    2.76
4096                    3.48
8192                    3.99
16384                   5.29
32768                   6.77
65536                   8.78
131072                 13.45
262144                 17.22
524288                 27.82
1048576                49.39
2097152                92.77
4194304               176.85
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.95
2                       8.15
4                      16.21
8                      32.31
16                     65.06
32                    128.70
64                    248.02
128                   485.10
256                   950.61
512                  1748.68
1024                 3423.05
2048                 6073.07
4096                 9213.73
8192                13565.53
16384               18809.99
32768               21861.32
65536               23369.63
131072              24013.46
262144              24355.31
524288              24527.36
1048576             24611.43
2097152             24651.65
4194304             24671.53
Point-to-point pairwise experiments for nodes cluster-256-hpc-10 cluster-256-hpc-115
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.60
1                       1.59
2                       1.59
4                       1.59
8                       1.60
16                      1.60
32                      1.76
64                      1.81
128                     1.86
256                     2.36
512                     2.46
1024                    2.65
2048                    2.76
4096                    3.51
8192                    4.02
16384                   5.31
32768                   6.85
65536                   9.07
131072                 13.81
262144                 17.17
524288                 27.77
1048576                49.86
2097152                92.34
4194304               176.81
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.04
2                       8.06
4                      15.85
8                      32.16
16                     64.78
32                    128.43
64                    246.33
128                   488.16
256                   938.56
512                  1757.52
1024                 3366.10
2048                 6050.74
4096                 9151.78
8192                13780.11
16384               18985.35
32768               21763.93
65536               23300.50
131072              24009.65
262144              24351.06
524288              24523.66
1048576             24610.85
2097152             24651.61
4194304             24667.84
Point-to-point pairwise experiments for nodes cluster-256-hpc-10 cluster-256-hpc-124
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.55
1                       1.55
2                       1.55
4                       1.55
8                       1.55
16                      1.56
32                      1.72
64                      1.77
128                     1.82
256                     2.31
512                     2.45
1024                    2.58
2048                    2.74
4096                    3.48
8192                    4.00
16384                   5.30
32768                   6.70
65536                   8.90
131072                 13.49
262144                 17.17
524288                 27.81
1048576                49.59
2097152                92.25
4194304               176.74
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.03
2                       7.92
4                      16.06
8                      31.60
16                     64.53
32                    127.59
64                    248.43
128                   487.16
256                   955.41
512                  1769.83
1024                 3385.65
2048                 6089.66
4096                 8651.02
8192                13222.41
16384               18965.86
32768               21878.88
65536               23370.52
131072              24015.74
262144              24354.91
524288              24528.90
1048576             24612.51
2097152             24652.40
4194304             24672.28
Point-to-point pairwise experiments for nodes cluster-256-hpc-10 cluster-256-hpc-94
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.57
1                       1.57
2                       1.57
4                       1.57
8                       1.57
16                      1.57
32                      1.74
64                      1.77
128                     1.81
256                     2.33
512                     2.45
1024                    2.62
2048                    2.73
4096                    3.47
8192                    3.98
16384                   5.29
32768                   6.82
65536                   9.08
131072                 13.88
262144                 17.17
524288                 27.81
1048576                49.31
2097152                92.65
4194304               176.87
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.04
2                       7.72
4                      16.19
8                      32.43
16                     64.99
32                    128.47
64                    247.65
128                   492.59
256                   943.48
512                  1816.60
1024                 3425.98
2048                 6102.06
4096                 9180.57
8192                13719.97
16384               19012.23
32768               21780.10
65536               23350.02
131072              24005.35
262144              24354.15
524288              24526.39
1048576             24611.40
2097152             24652.50
4194304             24671.70
Point-to-point pairwise experiments for nodes cluster-256-hpc-117 cluster-256-hpc-36
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.56
1                       1.56
2                       1.56
4                       1.56
8                       1.56
16                      1.56
32                      1.69
64                      1.77
128                     1.82
256                     2.32
512                     2.44
1024                    2.63
2048                    2.73
4096                    3.46
8192                    3.97
16384                   5.28
32768                   6.80
65536                   8.89
131072                 13.69
