,experiment,cloud,env,env_type,nodes,application,problem_size,metric,value
105,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,13.377004623413086
106,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.559514284133911
107,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.578678846359253
108,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.63153624534607
109,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,13.507010221481323
110,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.602381229400635
111,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.559759378433228
112,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.620990991592407
113,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,13.417108297348022
114,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.57385540008545
115,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.537259817123413
116,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.561134576797485
117,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.55536413192749
118,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.589049816131592
119,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.513425827026367
120,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.596513748168945
121,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,13.365744352340698
122,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,13.40676212310791
123,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.588282823562622
124,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.562177896499634
125,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.521734952926636
126,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.54248571395874
127,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.566145896911621
128,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.559852600097656
129,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.585635662078857
130,aws/eks/gpu,aws,eks,gpu,16,magma,all,workload_manager_wrapper_seconds,12.542813062667847
131,aws/eks/gpu,aws,eks,gpu,4,magma,all,workload_manager_wrapper_seconds,12.56057071685791
132,aws/eks/gpu,aws,eks,gpu,4,magma,all,workload_manager_wrapper_seconds,13.421082735061646
133,aws/eks/gpu,aws,eks,gpu,4,magma,all,workload_manager_wrapper_seconds,13.392699241638184
134,aws/eks/gpu,aws,eks,gpu,4,magma,all,workload_manager_wrapper_seconds,13.39413070678711
135,aws/eks/gpu,aws,eks,gpu,4,magma,all,workload_manager_wrapper_seconds,13.446633100509644
136,aws/eks/gpu,aws,eks,gpu,4,magma,all,workload_manager_wrapper_seconds,13.44698977470398
137,aws/eks/gpu,aws,eks,gpu,4,magma,all,workload_manager_wrapper_seconds,13.391429662704468
138,aws/eks/gpu,aws,eks,gpu,4,magma,all,workload_manager_wrapper_seconds,13.446937561035156
139,aws/eks/gpu,aws,eks,gpu,4,magma,all,workload_manager_wrapper_seconds,13.464368343353271
140,aws/eks/gpu,aws,eks,gpu,4,magma,all,workload_manager_wrapper_seconds,12.616209506988525
141,azure/cyclecloud/gpu,azure,cyclecloud,gpu,32,magma,all,workload_manager_wrapper_seconds,16
142,azure/cyclecloud/gpu,azure,cyclecloud,gpu,32,magma,all,workload_manager_wrapper_seconds,16
143,azure/cyclecloud/gpu,azure,cyclecloud,gpu,32,magma,all,workload_manager_wrapper_seconds,15
144,azure/cyclecloud/gpu,azure,cyclecloud,gpu,32,magma,all,workload_manager_wrapper_seconds,22
145,azure/cyclecloud/gpu,azure,cyclecloud,gpu,32,magma,all,workload_manager_wrapper_seconds,16
146,azure/cyclecloud/gpu,azure,cyclecloud,gpu,8,magma,all,workload_manager_wrapper_seconds,16
147,azure/cyclecloud/gpu,azure,cyclecloud,gpu,8,magma,all,workload_manager_wrapper_seconds,20
148,azure/cyclecloud/gpu,azure,cyclecloud,gpu,8,magma,all,workload_manager_wrapper_seconds,15
149,azure/cyclecloud/gpu,azure,cyclecloud,gpu,8,magma,all,workload_manager_wrapper_seconds,20
150,azure/cyclecloud/gpu,azure,cyclecloud,gpu,8,magma,all,workload_manager_wrapper_seconds,20
151,azure/cyclecloud/gpu,azure,cyclecloud,gpu,16,magma,all,workload_manager_wrapper_seconds,15
152,azure/cyclecloud/gpu,azure,cyclecloud,gpu,16,magma,all,workload_manager_wrapper_seconds,15
153,azure/cyclecloud/gpu,azure,cyclecloud,gpu,16,magma,all,workload_manager_wrapper_seconds,15
154,azure/cyclecloud/gpu,azure,cyclecloud,gpu,16,magma,all,workload_manager_wrapper_seconds,14
155,azure/cyclecloud/gpu,azure,cyclecloud,gpu,16,magma,all,workload_manager_wrapper_seconds,18
156,azure/cyclecloud/gpu,azure,cyclecloud,gpu,4,magma,all,workload_manager_wrapper_seconds,22
157,azure/cyclecloud/gpu,azure,cyclecloud,gpu,4,magma,all,workload_manager_wrapper_seconds,15
158,azure/cyclecloud/gpu,azure,cyclecloud,gpu,4,magma,all,workload_manager_wrapper_seconds,21
159,azure/cyclecloud/gpu,azure,cyclecloud,gpu,4,magma,all,workload_manager_wrapper_seconds,22
160,azure/cyclecloud/gpu,azure,cyclecloud,gpu,4,magma,all,workload_manager_wrapper_seconds,22
161,azure/aks/gpu,azure,aks,gpu,32,magma,all,workload_manager_wrapper_seconds,13.199749231338501
162,azure/aks/gpu,azure,aks,gpu,32,magma,all,workload_manager_wrapper_seconds,14.11126160621643
163,azure/aks/gpu,azure,aks,gpu,32,magma,all,workload_manager_wrapper_seconds,14.17820405960083
164,azure/aks/gpu,azure,aks,gpu,32,magma,all,workload_manager_wrapper_seconds,13.792339563369751
165,azure/aks/gpu,azure,aks,gpu,32,magma,all,workload_manager_wrapper_seconds,13.501680850982666
166,azure/aks/gpu,azure,aks,gpu,8,magma,all,workload_manager_wrapper_seconds,10.435757398605347
167,azure/aks/gpu,azure,aks,gpu,8,magma,all,workload_manager_wrapper_seconds,10.413248538970947
168,azure/aks/gpu,azure,aks,gpu,8,magma,all,workload_manager_wrapper_seconds,10.464981079101562
169,azure/aks/gpu,azure,aks,gpu,8,magma,all,workload_manager_wrapper_seconds,10.418617248535156
170,azure/aks/gpu,azure,aks,gpu,8,magma,all,workload_manager_wrapper_seconds,10.486177921295166
171,azure/aks/gpu,azure,aks,gpu,8,magma,all,workload_manager_wrapper_seconds,10.420706748962402
172,azure/aks/gpu,azure,aks,gpu,8,magma,all,workload_manager_wrapper_seconds,10.456760168075562
173,azure/aks/gpu,azure,aks,gpu,8,magma,all,workload_manager_wrapper_seconds,10.441473245620728
174,azure/aks/gpu,azure,aks,gpu,8,magma,all,workload_manager_wrapper_seconds,10.489158391952515
175,azure/aks/gpu,azure,aks,gpu,8,magma,all,workload_manager_wrapper_seconds,10.398515462875366
176,azure/aks/gpu,azure,aks,gpu,16,magma,all,workload_manager_wrapper_seconds,10.460901737213135
177,azure/aks/gpu,azure,aks,gpu,16,magma,all,workload_manager_wrapper_seconds,10.411191463470459
178,azure/aks/gpu,azure,aks,gpu,16,magma,all,workload_manager_wrapper_seconds,10.47313117980957
179,azure/aks/gpu,azure,aks,gpu,16,magma,all,workload_manager_wrapper_seconds,10.43564748764038
180,azure/aks/gpu,azure,aks,gpu,16,magma,all,workload_manager_wrapper_seconds,10.450282335281372
181,azure/aks/gpu,azure,aks,gpu,4,magma,all,workload_manager_wrapper_seconds,14.036145210266113
182,azure/aks/gpu,azure,aks,gpu,4,magma,all,workload_manager_wrapper_seconds,14.340211629867554
183,azure/aks/gpu,azure,aks,gpu,4,magma,all,workload_manager_wrapper_seconds,13.571400880813599
184,azure/aks/gpu,azure,aks,gpu,4,magma,all,workload_manager_wrapper_seconds,13.497990608215332
185,azure/aks/gpu,azure,aks,gpu,4,magma,all,workload_manager_wrapper_seconds,14.117173671722412
186,azure/aks/gpu,azure,aks,gpu,4,magma,all,workload_manager_wrapper_seconds,14.08612847328186
