flux-sample-2 flux-sample-12
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
# Size          Latency (us)
0                      22.07
1                      22.11
2                      22.08
4                      22.08
8                      22.75
16                     22.73
32                     22.76
64                     23.04
128                    22.84
256                    22.90
512                    23.13
1024                   23.77
2048                   25.05
4096                   28.23
8192                   33.90
16384                  35.96
32768                  40.74
65536                  48.27
131072                115.28
262144                138.24
524288                243.17
1048576               454.14
2097152               876.42
4194304              1666.71
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       0.62
2                       1.22
4                       2.45
8                       4.89
16                      9.77
32                     19.47
64                     38.94
128                    77.69
256                   154.83
512                   309.68
1024                  608.64
2048                 1196.31
4096                 2214.21
8192                 3579.86
16384                4387.48
32768                5337.22
65536                6251.37
131072               6273.51
262144               6439.63
524288               6524.83
1048576              6511.99
2097152              6488.00
4194304              6459.29
flux-sample-15 flux-sample-3
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                      21.90
1                      21.90
2                      21.88
4                      21.90
8                      22.62
16                     22.50
32                     22.63
64                     22.74
128                    22.67
256                    22.63
512                    22.88
1024                   23.23
2048                   24.43
4096                   27.67
8192                   33.40
16384                  35.70
32768                  40.33
65536                  47.87
131072                114.27
262144                136.95
524288                241.23
1048576               450.82
2097152               871.49
4194304              1655.46
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       0.63
2                       1.25
4                       2.51
8                       4.99
16                      9.94
32                     19.98
64                     40.05
128                    79.32
256                   158.47
512                   315.00
1024                  623.17
2048                 1217.01
4096                 2244.89
8192                 3588.58
16384                4435.36
32768                5360.27
65536                6238.41
131072               6279.81
262144               6437.88
524288               6524.10
1048576              6532.70
2097152              6481.24
4194304              6459.22
flux-sample-15 flux-sample-9
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                      19.44
1                      19.46
2                      19.43
4                      19.45
8                      20.26
16                     20.26
32                     20.18
64                     20.52
128                    20.28
256                    20.34
512                    20.38
1024                   20.97
2048                   21.97
4096                   24.92
8192                   29.83
16384                  32.04
32768                  36.66
65536                  44.12
131072                104.20
262144                127.90
524288                226.40
1048576               424.38
2097152               824.07
4194304              1565.58
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       0.64
2                       1.29
4                       2.58
8                       5.17
16                     10.25
32                     20.41
64                     41.15
128                    81.29
256                   162.40
512                   322.01
1024                  640.97
2048                 1234.39
4096                 2340.89
8192                 3746.01
16384                4511.08
32768                5440.33
65536                6286.67
131072               6299.42
262144               6454.16
524288               6537.88
1048576              6547.41
2097152              6495.60
4194304              6463.87
flux-sample-15 flux-sample-11
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                      38.05
1                      38.13
2                      38.10
4                      37.99
8                      38.62
16                     38.67
32                     38.89
64                     38.94
128                    39.00
256                    39.20
512                    39.53
1024                   40.32
2048                   41.77
4096                   45.07
8192                   52.20
16384                  55.82
32768                  61.77
65536                  70.38
131072                174.01
262144                197.94
524288                342.40
1048576               628.77
2097152              1209.15
4194304              2278.51
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
