Start time: 1725088207
Point-to-point pairwise experiments for nodes cluster-256-hpc-70 cluster-256-hpc-65
# OSU MPI Latency Test v5.8
# Size          Latency (us)
524288                 27.88
1048576                49.25
2097152                92.69
4194304               176.77
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.07
2                       8.04
4                      16.28
8                      32.60
16                     64.72
32                    128.83
64                    246.23
128                   497.42
256                   949.61
512                  1812.55
1024                 3371.82
2048                 6057.67
4096                 9205.61
8192                13746.30
16384               18925.55
32768               21827.02
65536               23339.91
131072              23994.47
262144              24328.16
524288              24506.76
1048576             24590.71
2097152             24636.88
4194304             24670.30
Point-to-point pairwise experiments for nodes cluster-256-hpc-105 cluster-256-hpc-72
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.57
1                       1.56
2                       1.56
4                       1.57
8                       1.57
16                      1.57
32                      1.73
64                      1.77
128                     1.82
256                     2.33
512                     2.43
1024                    2.63
2048                    2.77
4096                    3.48
8192                    4.01
16384                   5.29
32768                   6.82
65536                   8.77
131072                 13.39
262144                 17.21
524288                 27.86
1048576                49.32
2097152                92.43
4194304               176.75
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.04
2                       8.11
4                      16.14
8                      32.48
16                     63.87
32                    128.92
64                    245.50
128                   492.08
256                   925.41
512                  1725.87
1024                 3304.00
2048                 6001.68
4096                 9104.47
8192                13645.73
16384               19021.32
32768               21807.06
65536               23339.10
131072              24010.22
262144              24351.44
524288              24526.57
1048576             24611.50
2097152             24630.92
4194304             24668.84
Point-to-point pairwise experiments for nodes cluster-256-hpc-126 cluster-256-hpc-76
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.64
1                       1.62
2                       1.62
4                       1.62
8                       1.62
16                      1.63
32                      1.80
64                      1.84
128                     1.90
256                     2.40
512                     2.50
1024                    2.65
2048                    2.83
4096                    3.54
8192                    4.06
16384                   5.35
32768                   7.00
65536                   9.03
131072                 13.86
262144                 17.39
524288                 28.09
1048576                49.58
2097152                92.64
4194304               177.56
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.89
2                       7.70
4                      15.06
8                      31.03
16                     62.31
32                    123.14
64                    242.27
128                   480.89
256                   915.87
512                  1683.61
1024                 3260.56
2048                 5870.99
4096                 8961.14
8192                13603.54
16384               18524.92
32768               21739.79
65536               22950.82
131072              23915.70
262144              24077.80
524288              24405.24
1048576             24440.76
2097152             24487.56
4194304             24488.48
Point-to-point pairwise experiments for nodes cluster-256-hpc-126 cluster-256-hpc-112
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.61
1                       1.61
2                       1.61
4                       1.61
8                       1.61
16                      1.62
32                      1.76
64                      1.82
128                     1.88
256                     2.38
512                     2.48
1024                    2.68
2048                    2.79
4096                    3.53
8192                    4.05
16384                   5.33
32768                   6.95
65536                   9.39
131072                 14.20
262144                 17.28
524288                 27.97
1048576                49.45
2097152                92.54
4194304               176.93
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.98
2                       8.11
4                      15.91
8                      32.33
16                     64.46
32                    129.15
64                    247.33
128                   485.12
256                   937.88
512                  1738.79
1024                 3308.20
2048                 5944.55
4096                 9041.52
8192                13621.94
16384               18828.28
32768               21329.43
65536               23291.43
131072              23968.48
262144              24320.76
524288              24477.63
1048576             24584.54
2097152             24623.86
4194304             24534.41
Point-to-point pairwise experiments for nodes cluster-256-hpc-126 cluster-256-hpc-124
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.61
1                       1.61
2                       1.61
4                       1.61
8                       1.61
16                      1.62
32                      1.78
64                      1.83
128                     1.88
256                     2.38
512                     2.47
1024                    2.69
2048                    2.79
4096                    3.52
8192                    4.02
16384                   5.35
32768                   6.85
65536                   8.82
131072                 13.54
262144                 17.35
524288                 28.00
1048576                49.52
2097152                92.47
4194304               176.97
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.04
2                       8.00
4                      16.08
8                      32.42
16                     63.47
32                    128.72
64                    244.09
128                   491.81
256                   932.93
512                  1701.81
1024                 3276.51
2048                 6017.53
4096                 9155.30
8192                13786.28
16384               19127.27
32768               21731.19
65536               23109.95
131072              23958.95
262144              24351.07
524288              24519.81
1048576             24610.85
2097152             24652.28
4194304             24661.30
Point-to-point pairwise experiments for nodes cluster-256-hpc-126 cluster-256-hpc-72
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.61
1                       1.60
2                       1.61
4                       1.61
8                       1.61
16                      1.61
32                      1.76
64                      1.82
128                     1.87
256                     2.37
512                     2.49
1024                    2.69
2048                    2.79
4096                    3.53
8192                    4.05
16384                   5.33
32768                   6.97
65536                   9.24
131072                 14.13
262144                 17.25
524288                 27.91
1048576                49.40
2097152                92.10
4194304               176.87
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.05
2                       7.77
4                      16.21
8                      31.71
16                     64.86
32                    124.85
64                    247.38
128                   486.00
256                   944.26
512                  1739.41
1024                 3339.02
2048                 5902.34
4096                 9029.46
8192                13546.22
16384               18965.43
32768               21336.87
65536               23116.52
131072              23989.18
262144              24345.41
524288              24523.05
1048576             24573.80
