,experiment,cloud,env,env_type,nodes,application,metric,value,gpu_count
132,google/compute-engine/gpu,google,compute-engine,gpu,32,mt-gemm,duration,127.8287558555603,256
133,google/compute-engine/gpu,google,compute-engine,gpu,8,mt-gemm,gflops_per_second_rate,497633.051702,64
134,google/compute-engine/gpu,google,compute-engine,gpu,8,mt-gemm,duration,131.19056391716003,64
135,google/compute-engine/gpu,google,compute-engine,gpu,8,mt-gemm,gflops_per_second_rate,499126.785613,64
136,google/compute-engine/gpu,google,compute-engine,gpu,8,mt-gemm,duration,127.01083636283875,64
137,google/compute-engine/gpu,google,compute-engine,gpu,8,mt-gemm,gflops_per_second_rate,498957.246757,64
138,google/compute-engine/gpu,google,compute-engine,gpu,8,mt-gemm,duration,126.83402514457703,64
139,google/compute-engine/gpu,google,compute-engine,gpu,8,mt-gemm,gflops_per_second_rate,498989.149292,64
140,google/compute-engine/gpu,google,compute-engine,gpu,8,mt-gemm,duration,126.73923134803772,64
141,google/compute-engine/gpu,google,compute-engine,gpu,8,mt-gemm,gflops_per_second_rate,499008.736927,64
142,google/compute-engine/gpu,google,compute-engine,gpu,8,mt-gemm,duration,126.7683482170105,64
143,google/compute-engine/gpu,google,compute-engine,gpu,16,mt-gemm,gflops_per_second_rate,997088.276545,128
144,google/compute-engine/gpu,google,compute-engine,gpu,16,mt-gemm,duration,127.35688781738281,128
145,google/compute-engine/gpu,google,compute-engine,gpu,16,mt-gemm,gflops_per_second_rate,997036.132331,128
146,google/compute-engine/gpu,google,compute-engine,gpu,16,mt-gemm,duration,127.23440194129944,128
147,google/compute-engine/gpu,google,compute-engine,gpu,16,mt-gemm,gflops_per_second_rate,996855.553681,128
148,google/compute-engine/gpu,google,compute-engine,gpu,16,mt-gemm,duration,127.43461346626282,128
149,google/compute-engine/gpu,google,compute-engine,gpu,16,mt-gemm,gflops_per_second_rate,996453.533148,128
150,google/compute-engine/gpu,google,compute-engine,gpu,16,mt-gemm,duration,132.2615122795105,128
151,google/compute-engine/gpu,google,compute-engine,gpu,16,mt-gemm,gflops_per_second_rate,997650.191519,128
152,google/compute-engine/gpu,google,compute-engine,gpu,16,mt-gemm,duration,126.82242393493652,128
153,google/compute-engine/gpu,google,compute-engine,gpu,4,mt-gemm,gflops_per_second_rate,248901.706373,32
154,google/compute-engine/gpu,google,compute-engine,gpu,4,mt-gemm,duration,129.91915106773376,32
155,google/compute-engine/gpu,google,compute-engine,gpu,4,mt-gemm,gflops_per_second_rate,249427.679757,32
156,google/compute-engine/gpu,google,compute-engine,gpu,4,mt-gemm,duration,126.11254549026489,32
157,google/compute-engine/gpu,google,compute-engine,gpu,4,mt-gemm,gflops_per_second_rate,249424.202619,32
158,google/compute-engine/gpu,google,compute-engine,gpu,4,mt-gemm,duration,126.15259146690369,32
159,google/compute-engine/gpu,google,compute-engine,gpu,4,mt-gemm,gflops_per_second_rate,249619.759922,32
160,google/compute-engine/gpu,google,compute-engine,gpu,4,mt-gemm,duration,126.04576921463013,32
161,google/compute-engine/gpu,google,compute-engine,gpu,4,mt-gemm,gflops_per_second_rate,249422.872701,32
162,google/compute-engine/gpu,google,compute-engine,gpu,4,mt-gemm,duration,126.08302807807922,32
163,on-premises/lassen/gpu,on-premises,lassen,gpu,64,mt-gemm,gflops_per_second_rate,995978.108615,256
164,on-premises/lassen/gpu,on-premises,lassen,gpu,64,mt-gemm,duration,126.08302807807922,256
165,on-premises/lassen/gpu,on-premises,lassen,gpu,64,mt-gemm,gflops_per_second_rate,1954160.221215,256
166,on-premises/lassen/gpu,on-premises,lassen,gpu,64,mt-gemm,duration,126.08302807807922,256
167,on-premises/lassen/gpu,on-premises,lassen,gpu,64,mt-gemm,gflops_per_second_rate,1955636.765025,256
168,on-premises/lassen/gpu,on-premises,lassen,gpu,64,mt-gemm,duration,126.08302807807922,256
169,on-premises/lassen/gpu,on-premises,lassen,gpu,64,mt-gemm,gflops_per_second_rate,1955639.433314,256
170,on-premises/lassen/gpu,on-premises,lassen,gpu,64,mt-gemm,duration,126.08302807807922,256
171,on-premises/lassen/gpu,on-premises,lassen,gpu,64,mt-gemm,gflops_per_second_rate,1954157.148631,256
172,on-premises/lassen/gpu,on-premises,lassen,gpu,64,mt-gemm,duration,126.08302807807922,256
173,on-premises/lassen/gpu,on-premises,lassen,gpu,32,mt-gemm,gflops_per_second_rate,978224.464582,128
174,on-premises/lassen/gpu,on-premises,lassen,gpu,32,mt-gemm,duration,126.08302807807922,128
