Start time: 1724890271
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-28 cpu-cluster-hpc-4
# OSU MPI Latency Test v5.8
# Size          Latency (us)
32                      1.73
64                      1.78
128                     1.83
256                     2.33
512                     2.44
1024                    2.58
2048                    2.74
4096                    3.48
8192                    4.06
16384                   5.34
32768                   6.70
65536                   8.85
131072                 13.60
262144                 17.20
524288                 27.83
1048576                49.36
2097152                91.93
4194304               177.58
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.06
2                       7.94
4                      16.29
8                      32.41
16                     64.38
32                    129.40
64                    243.26
128                   493.32
256                   929.95
512                  1768.16
1024                 3344.64
2048                 6023.49
4096                 9165.42
8192                13712.40
16384               18560.26
32768               21070.91
65536               23195.92
131072              24012.37
262144              24354.16
524288              24526.67
1048576             24611.78
2097152             24652.21
4194304             24673.52
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-32 cpu-cluster-hpc-13
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.59
1                       1.59
2                       1.59
4                       1.59
8                       1.59
16                      1.60
32                      1.75
64                      1.80
128                     1.86
256                     2.35
512                     2.45
1024                    2.59
2048                    2.77
4096                    3.52
8192                    4.09
16384                   5.31
32768                   6.76
65536                   9.13
131072                 14.07
262144                 17.33
524288                 27.95
1048576                49.52
2097152                92.34
4194304               178.54
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.02
2                       7.88
4                      16.32
8                      32.41
16                     64.52
32                    128.56
64                    242.12
128                   495.69
256                   941.48
512                  1755.10
1024                 3300.77
2048                 5929.20
4096                 9069.99
8192                13680.72
16384               18494.07
32768               21610.04
65536               22918.77
131072              23780.55
262144              24200.89
524288              24349.99
1048576             24367.10
2097152             24399.46
4194304             24447.90
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-32 cpu-cluster-hpc-2
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.62
1                       1.61
2                       1.61
4                       1.63
8                       1.62
16                      1.62
32                      1.78
64                      1.84
128                     1.90
256                     2.38
512                     2.51
1024                    2.62
2048                    2.78
4096                    3.53
8192                    4.10
16384                   5.33
32768                   6.83
65536                   8.74
131072                 13.66
262144                 17.33
524288                 28.09
1048576                49.50
2097152                91.95
4194304               177.80
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.89
2                       7.27
4                      15.60
8                      30.82
16                     62.60
32                    120.34
64                    247.37
128                   480.44
256                   917.81
512                  1700.92
1024                 3281.79
2048                 5885.42
4096                 9093.17
8192                13511.57
16384               18918.43
32768               21366.33
65536               23287.92
131072              23975.94
262144              24345.03
524288              24463.03
1048576             24579.13
2097152             24651.53
4194304             24646.15
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-20 cpu-cluster-hpc-29
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.57
1                       1.57
2                       1.57
4                       1.58
8                       1.57
16                      1.58
32                      1.73
64                      1.77
128                     1.83
256                     2.33
512                     2.43
1024                    2.58
2048                    2.75
4096                    3.49
8192                    4.11
16384                   5.32
32768                   6.96
65536                   9.23
131072                 14.02
262144                 17.13
524288                 27.82
1048576                49.37
2097152                91.89
4194304               177.28
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.04
2                       8.07
4                      16.32
8                      31.34
16                     65.33
32                    129.33
64                    250.24
128                   492.61
256                   937.80
512                  1724.56
1024                 3348.47
2048                 5890.48
4096                 8983.84
8192                13545.78
16384               19009.87
32768               21780.36
65536               23350.39
131072              23904.98
262144              24356.29
524288              24528.82
1048576             24613.02
2097152             24653.74
4194304             24674.43
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-20 cpu-cluster-hpc-22
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.56
1                       1.55
2                       1.55
4                       1.56
8                       1.56
16                      1.56
32                      1.73
64                      1.76
128                     1.81
256                     2.32
512                     2.41
1024                    2.56
2048                    2.72
4096                    3.48
8192                    4.09
16384                   5.30
32768                   6.73
65536                   8.87
131072                 13.72
262144                 17.13
524288                 27.76
1048576                49.35
2097152                91.83
4194304               177.39
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.99
2                       8.13
4                      16.23
8                      32.54
16                     65.43
32                    129.52
64                    247.42
128                   491.80
256                   944.68
512                  1719.85
1024                 3346.09
2048                 5983.23
4096                 9157.59
8192                13167.61
16384               18493.06
32768               21844.35
65536               23328.01
131072              23893.59
262144              24343.11
524288              24528.06
1048576             24612.91
2097152             24652.98
4194304             24674.22
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-20 cpu-cluster-hpc-13
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.58
1                       1.58
2                       1.58
4                       1.58
8                       1.58
16                      1.62
32                      1.77
64                      1.80
