Month,Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,Cost ($),Discounts ($),Promotions and others ($),Unrounded subtotal ($),Subtotal ($)
2024-08,Compute Engine,6F81-5844-456A,Licensing Fee for VM image built using HPC Toolkit,759B-BE8F-CD40,1.288,hour,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to London,7618-3912-3F75,0.008,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Seoul to Americas,7708-0869-D509,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Australia to Americas,773D-F52D-63CD,0.002,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Licensing Fee for Container-Optimized OS - PCID Whitelisted (CPU cost),7927-E3EC-DBBC,"2,171.698",hour,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Hong Kong,7EDC-324D-8320,0.001,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Japan to Americas,8497-0F70-3439,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from London to Americas,8687-6D6B-5B8B,0.009,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Finland,878C-B028-AAFE,0.004,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Licensing Fee for Shielded COS (CPU cost),8835-C41E-B3EA,"231,404.453",hour,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Toronto to Americas,892C-ECAD-0554,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from EMEA to Americas,8E2F-8EE0-E9FD,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Mumbai to Americas,90C1-86D9-BD3F,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Americas to Americas,92CB-C25F-B1D1,243.976,gibibyte,0.00,0.00,0.00,0.000000,0.00
