,,,,
Spend by 'Additional Info' ,Month,,,
Row Labels,8,9,(empty),Total Result
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_5"",""ContainerId"":""86b90e78-9ffe-4664-8407-1980e268c2d7"",""NodeId"":""23f0d9ff-c6b6-95cc-4a96-6930359396d9""}",2.84761190414428E-06,,,2.84761190414428E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_50"",""ContainerId"":""3789d6a5-acce-4497-89d6-b7e2c9580b11"",""NodeId"":""88d3880a-b698-5592-18ae-c48a1b952775""}",1.29133097827434E-06,,,1.29133097827434E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_51"",""ContainerId"":""1f055787-0d79-4acf-b072-33159290f512"",""NodeId"":""ba17ec3d-cdd9-3377-098e-7952aec095e2""}",1.26161411404609E-06,,,1.26161411404609E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_52"",""ContainerId"":""4bd003de-a9f0-44a6-84d3-d479af096837"",""NodeId"":""8b22d9ad-ec64-c89e-1358-b95fec925b5c""}",1.31014555692672E-06,,,1.31014555692672E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_53"",""ContainerId"":""8c5bbfc1-4cf5-4895-abd3-4e59b5cd7626"",""NodeId"":""fd8f56f6-f142-bc67-0277-bac4c05425f5""}",1.32942795753479E-06,,,1.32942795753479E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_54"",""ContainerId"":""9c6c1882-4387-462a-b8b3-3e7401b0e543"",""NodeId"":""89cabda2-3442-c32e-a009-e658f7bfc97c""}",1.38119347393513E-06,,,1.38119347393513E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_55"",""ContainerId"":""001aba42-5b59-4799-b959-415d48b56a70"",""NodeId"":""b82525a6-8edc-1da4-f3a4-5f676a7e194c""}",1.31321690976619E-06,,,1.31321690976619E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_56"",""ContainerId"":""77d43f73-0b00-44b1-920e-daeb1c4ef208"",""NodeId"":""29e663c9-aaaf-72f9-ebcd-3e6748ccecf2""}",1.23085990548134E-06,,,1.23085990548134E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_57"",""ContainerId"":""bbff7a41-4a58-4079-9cf4-a0931c9fb3c4"",""NodeId"":""0fd2f790-acf1-be65-e8aa-3cc4b287cf2e""}",1.30534529685973E-06,,,1.30534529685973E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_58"",""ContainerId"":""39e6b80c-8aa2-44a7-ac78-7dc12dcc4d0c"",""NodeId"":""0f3bf6f5-41f2-c4e5-e483-9818d31f7e21""}",1.33491978049277E-06,,,1.33491978049277E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_59"",""ContainerId"":""5ea32c94-08b8-4dd8-8529-54ccd4b80c5a"",""NodeId"":""01031c97-6c34-415a-593d-ba40786e158b""}",1.34942226111888E-06,,,1.34942226111888E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_6"",""ContainerId"":""5b8f6bad-4748-4ba1-99c9-72bfa1c51bd8"",""NodeId"":""4eeac885-cd5c-c617-18ef-7d6a94a429e6""}",2.99383677542208E-06,,,2.99383677542208E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_60"",""ContainerId"":""37bff8bd-2458-43be-91ed-3aa9d8ae26b3"",""NodeId"":""c1e6f8f5-27c2-ae38-6d28-d284fd42a3ab""}",1.25191189348697E-06,,,1.25191189348697E-06
